Receiver: 1 ,Data: hello 16, RSSI: -90, Comment: 72,0, Timestamp: Thu Nov 09 2023 16:58:23 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 17, RSSI: -90, Comment: 72,0, Timestamp: Thu Nov 09 2023 16:58:27 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 18, RSSI: -90, Comment: 72,0, Timestamp: Thu Nov 09 2023 16:58:30 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 19, RSSI: -90, Comment: 72,0, Timestamp: Thu Nov 09 2023 16:58:33 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 20, RSSI: -82, Comment: 80,0, Timestamp: Thu Nov 09 2023 16:58:56 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 21, RSSI: -82, Comment: 80,0, Timestamp: Thu Nov 09 2023 16:58:59 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 22, RSSI: -82, Comment: 80,0, Timestamp: Thu Nov 09 2023 16:59:03 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 23, RSSI: -82, Comment: 80,0, Timestamp: Thu Nov 09 2023 16:59:06 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 24, RSSI: -82, Comment: 80,0, Timestamp: Thu Nov 09 2023 16:59:09 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 25, RSSI: -87, Comment: 88,0, Timestamp: Thu Nov 09 2023 16:59:37 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 26, RSSI: -88, Comment: 88,0, Timestamp: Thu Nov 09 2023 16:59:40 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 27, RSSI: -88, Comment: 88,0, Timestamp: Thu Nov 09 2023 16:59:43 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 28, RSSI: -88, Comment: 88,0, Timestamp: Thu Nov 09 2023 16:59:47 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 29, RSSI: -88, Comment: 88,0, Timestamp: Thu Nov 09 2023 16:59:50 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 0, RSSI: -97, Comment: 90,8, Timestamp: Thu Nov 09 2023 17:01:49 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 1, RSSI: -97, Comment: 90,8, Timestamp: Thu Nov 09 2023 17:01:52 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 2, RSSI: -97, Comment: 90,8, Timestamp: Thu Nov 09 2023 17:01:55 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 3, RSSI: -97, Comment: 90,8, Timestamp: Thu Nov 09 2023 17:01:59 GMT+0330 (Iran Standard Time)
